Date,Time,Room Temperature (degree Celsius),Relative Humidity (%)
23.01.18,10:30:00,23.4,60.3
23.01.18,10:42:00,23.6,59.7
23.01.18,10:54:00,23.9,59.3
23.01.18,11:06:00,24,58.3
23.01.18,11:18:00,24,54.7
23.01.18,11:30:00,24,50.9
23.01.18,11:42:00,24,48.1
23.01.18,11:54:00,24,45
23.01.18,12:06:00,24,44.3
23.01.18,12:18:00,24,43.3
23.01.18,12:30:00,24,42.2
23.01.18,12:42:00,24,41.5
23.01.18,12:54:00,24,41.1
23.01.18,13:06:00,24.1,41
23.01.18,13:18:00,24,39.6
23.01.18,13:30:00,24,39.5
23.01.18,13:42:00,24,39.3
23.01.18,13:54:00,24,38.8
23.01.18,14:06:00,24.1,37.5
23.01.18,14:18:00,24.1,36.4
23.01.18,14:30:00,24.1,35.6
23.01.18,14:42:00,24.1,34.6
23.01.18,14:54:00,24.1,34.2
23.01.18,15:06:00,24.1,34.2
23.01.18,15:18:00,24.1,34
23.01.18,15:30:00,24.1,34.6
23.01.18,15:42:00,23.9,34.5
23.01.18,15:54:00,24,34.1
23.01.18,16:06:00,24,33.5
23.01.18,16:18:00,24,33.5
23.01.18,16:30:00,24,34.1
23.01.18,16:42:00,24,34
23.01.18,16:54:00,24.1,33.8
23.01.18,17:06:00,24,33.1
23.01.18,17:18:00,24.1,33.1
23.01.18,17:30:00,24.1,33.4
23.01.18,17:42:00,24.1,34.6
23.01.18,17:54:00,24.1,34.7
23.01.18,18:06:00,24.2,35.1
23.01.18,18:18:00,24.3,37.2
23.01.18,18:30:00,24.5,36.5
23.01.18,18:42:00,24.5,35.8
23.01.18,18:54:00,24.4,34.5
23.01.18,19:06:00,23.9,35.6
23.01.18,19:18:00,23.1,40.8
23.01.18,19:30:00,22.5,44.7
23.01.18,19:42:00,22,47
23.01.18,19:54:00,21.6,48.5
23.01.18,20:06:00,21.2,49.2
23.01.18,20:18:00,20.8,50
23.01.18,20:30:00,20.4,50.7
23.01.18,20:42:00,20,51.4
23.01.18,20:54:00,19.6,52
23.01.18,21:06:00,19.2,52.8
23.01.18,21:18:00,18.8,53.7
23.01.18,21:30:00,18.4,54.6
23.01.18,21:42:00,18.1,55.3
23.01.18,21:54:00,17.9,55.7
23.01.18,22:06:00,17.6,55.9
23.01.18,22:18:00,17.4,56.2
23.01.18,22:30:00,17.1,56.3
23.01.18,22:42:00,16.9,56.4
23.01.18,22:54:00,16.6,56.4
