Gen,Frame,name,area pred,area gt,mean exg pred,mean exg gt,mean exr pred,mean exr gt,mean exgr pred,mean exgr gt
11,12,video0011_frame0012_R128x128.png,870,2413,-2.156494141,15.66912842,19.92956543,17.31616211,-22.08605957,-1.647033691
12,1,video0012_frame0001_R128x128.png,1749,1749,8.76763916,8.76763916,13.37518311,13.37518311,-4.607543945,-4.607543945
12,2,video0012_frame0002_R128x128.png,3982,3982,22.35717773,22.35717773,15.25482178,15.25482178,7.102355957,7.102355957
12,3,video0012_frame0003_R128x128.png,3293,3293,22.34344482,22.34344482,14.02325439,14.02325439,8.32019043,8.32019043
12,4,video0012_frame0004_R128x128.png,3723,3723,24.24066162,24.24066162,16.23138428,16.23138428,8.009277344,8.009277344
12,5,video0012_frame0005_R128x128.png,3824,3824,22.49578857,22.49578857,16.31640625,16.31640625,6.179382324,6.179382324
12,6,video0012_frame0006_R128x128.png,3030,3030,12.85919189,12.85919189,19.04150391,19.04150391,-6.182312012,-6.182312012
12,7,video0012_frame0007_R128x128.png,3163,3195,15.99060059,13.41650391,16.69000244,18.24005127,-0.699401855,-4.823547363
12,8,video0012_frame0008_R128x128.png,3981,3259,20.97540283,13.14764404,13.56738281,15.3583374,7.40802002,-2.210693359
12,9,video0012_frame0009_R128x128.png,3515,4672,19.03289795,29.16564941,13.96325684,13.29644775,5.069641113,15.86920166
12,10,video0012_frame0010_R128x128.png,2830,5402,13.30731201,33.83135986,16.67279053,14.14373779,-3.365478516,19.68762207
12,11,video0012_frame0011_R128x128.png,3001,4292,14.5881958,21.70928955,16.15771484,16.99462891,-1.569519043,4.714660645
12,12,video0012_frame0012_R128x128.png,3178,7006,13.57757568,45.94128418,19.42730713,12.17419434,-5.849731445,33.76708984
13,1,video0013_frame0001_R128x128.png,561,561,-3,-3,14.44970703,14.44970703,-17.44970703,-17.44970703
13,2,video0013_frame0002_R128x128.png,514,514,-4.548217773,-4.548217773,14.54077148,14.54077148,-19.08898926,-19.08898926
13,3,video0013_frame0003_R128x128.png,348,348,-8.91027832,-8.91027832,20.49554443,20.49554443,-29.40582275,-29.40582275
13,4,video0013_frame0004_R128x128.png,324,324,-3.166381836,-3.166381836,14.58465576,14.58465576,-17.7510376,-17.7510376
13,5,video0013_frame0005_R128x128.png,257,257,-2.097351074,-2.097351074,14.33215332,14.33215332,-16.42950439,-16.42950439
13,6,video0013_frame0006_R128x128.png,678,678,-0.989562988,-0.989562988,14.87414551,14.87414551,-15.8637085,-15.8637085
13,7,video0013_frame0007_R128x128.png,379,391,-4.831665039,-3.902160645,17.01147461,18.30743408,-21.84313965,-22.20959473
13,8,video0013_frame0008_R128x128.png,382,367,-5.154602051,-6.910339355,15.30383301,18.36755371,-20.45843506,-25.27789307
13,9,video0013_frame0009_R128x128.png,434,335,-5.355834961,-4.03692627,18.9175415,15.51794434,-24.27337646,-19.55487061
13,10,video0013_frame0010_R128x128.png,489,338,-3.10546875,-1.811523438,16.21185303,16.02679443,-19.31732178,-17.83831787
13,11,video0013_frame0011_R128x128.png,231,639,-5.711975098,-0.028503418,17.55700684,16.1026001,-23.26898193,-16.13110352
13,12,video0013_frame0012_R128x128.png,408,488,-4.973266602,-1.653381348,20.78820801,21.44836426,-25.76147461,-23.10174561
14,1,video0014_frame0001_R128x128.png,543,543,0.092163086,0.092163086,14.76971436,14.76971436,-14.67755127,-14.67755127
14,2,video0014_frame0002_R128x128.png,858,858,-0.875854492,-0.875854492,16.19366455,16.19366455,-17.06951904,-17.06951904
14,3,video0014_frame0003_R128x128.png,543,543,-1.692077637,-1.692077637,17.11590576,17.11590576,-18.8079834,-18.8079834
14,4,video0014_frame0004_R128x128.png,732,732,2.500183105,2.500183105,20.31359863,20.31359863,-17.81341553,-17.81341553
14,5,video0014_frame0005_R128x128.png,881,881,3.858093262,3.858093262,12.83990479,12.83990479,-8.981811523,-8.981811523
14,6,video0014_frame0006_R128x128.png,784,784,0.636962891,0.636962891,13.70306396,13.70306396,-13.06610107,-13.06610107
14,7,video0014_frame0007_R128x128.png,1174,1851,2.568054199,7.301818848,15.72338867,15.92266846,-13.15533447,-8.620849609
14,8,video0014_frame0008_R128x128.png,671,1597,-2.902709961,7.794372559,16.34716797,14.33990479,-19.24987793,-6.545532227
14,9,video0014_frame0009_R128x128.png,767,2248,0.864746094,12.82574463,18.55908203,17.19042969,-17.69433594,-4.364685059
14,10,video0014_frame0010_R128x128.png,899,1760,1.07019043,11.59869385,18.75836182,18.29052734,-17.68817139,-6.691833496
14,11,video0014_frame0011_R128x128.png,786,2318,-1.758972168,13.86029053,15.56347656,17.1151123,-17.32244873,-3.254821777
14,12,video0014_frame0012_R128x128.png,722,1804,-2.8671875,10.20336914,20.32757568,14.74719238,-23.19476318,-4.543823242
15,1,video0015_frame0001_R128x128.png,1788,1788,9.665466309,9.665466309,14.45770264,14.45770264,-4.792236328,-4.792236328
15,2,video0015_frame0002_R128x128.png,2731,2731,17.6965332,17.6965332,17.41845703,17.41845703,0.278076172,0.278076172
15,3,video0015_frame0003_R128x128.png,2215,2215,6.948486328,6.948486328,20.37939453,20.37939453,-13.4309082,-13.4309082
15,4,video0015_frame0004_R128x128.png,2500,2500,9.29699707,9.29699707,19.81817627,19.81817627,-10.5211792,-10.5211792
15,5,video0015_frame0005_R128x128.png,2672,2672,14.80401611,14.80401611,17.41680908,17.41680908,-2.612792969,-2.612792969
15,6,video0015_frame0006_R128x128.png,3460,3460,19.65844727,19.65844727,16.70800781,16.70800781,2.950439453,2.950439453
15,7,video0015_frame0007_R128x128.png,2895,3599,14.66674805,19.92376709,16.79748535,16.4699707,-2.130737305,3.453796387
15,8,video0015_frame0008_R128x128.png,3028,3674,14.98748779,18.7043457,15.48162842,16.72821045,-0.494140625,1.976135254
15,9,video0015_frame0009_R128x128.png,2621,3450,11.38366699,19.83850098,15.70806885,16.05566406,-4.324401855,3.782836914
15,10,video0015_frame0010_R128x128.png,2422,4051,10.00042725,24.41156006,16.02978516,15.48651123,-6.02935791,8.925048828
15,11,video0015_frame0011_R128x128.png,3037,4928,15.62738037,28.40313721,15.47625732,15.01611328,0.151123047,13.38702393
15,12,video0015_frame0012_R128x128.png,2786,5440,11.99517822,33.41876221,18.51873779,13.59777832,-6.52355957,19.82098389
16,1,video0016_frame0001_R128x128.png,486,486,-4.865600586,-4.865600586,14.09509277,14.09509277,-18.96069336,-18.96069336
16,2,video0016_frame0002_R128x128.png,352,352,-9.335144043,-9.335144043,19.04577637,19.04577637,-28.38092041,-28.38092041
16,3,video0016_frame0003_R128x128.png,631,631,-4.729248047,-4.729248047,16.33746338,16.33746338,-21.06671143,-21.06671143
16,4,video0016_frame0004_R128x128.png,511,511,-3.297790527,-3.297790527,14.58483887,14.58483887,-17.88262939,-17.88262939
16,5,video0016_frame0005_R128x128.png,452,452,-4.127929688,-4.127929688,15.17205811,15.17205811,-19.29998779,-19.29998779
16,6,video0016_frame0006_R128x128.png,330,330,-3.411621094,-3.411621094,16.81665039,16.81665039,-20.22827148,-20.22827148
16,7,video0016_frame0007_R128x128.png,361,296,-4.273071289,-7.87286377,16.65814209,20.49920654,-20.93121338,-28.37207031
16,8,video0016_frame0008_R128x128.png,420,486,-4.920837402,-0.439025879,18.76293945,16.18371582,-23.68377686,-16.6227417
16,9,video0016_frame0009_R128x128.png,413,305,-5.118286133,-1.178466797,17.74017334,15.36950684,-22.85845947,-16.54797363
16,10,video0016_frame0010_R128x128.png,405,522,-3.792785645,0.600280762,19.03582764,17.04278564,-22.82861328,-16.44250488
16,11,video0016_frame0011_R128x128.png,282,444,-5.508850098,-2.956726074,22.52093506,17.01318359,-28.02978516,-19.96990967
17,12,video0016_frame0012_R128x128.png,279,469,-5.989013672,-6.318725586,20.13031006,17.25561523,-26.11932373,-23.57434082
17,1,video0017_frame0001_R128x128.png,374,374,-3.445983887,-3.445983887,15.80316162,15.80316162,-19.24914551,-19.24914551
17,2,video0017_frame0002_R128x128.png,351,351,-1.186096191,-1.186096191,15.16363525,15.16363525,-16.34973145,-16.34973145
17,3,video0017_frame0003_R128x128.png,956,956,3.086120605,3.086120605,16.65625,16.65625,-13.57012939,-13.57012939
17,4,video0017_frame0004_R128x128.png,824,824,2.049926758,2.049926758,23.00006104,23.00006104,-20.95013428,-20.95013428
17,5,video0017_frame0005_R128x128.png,1022,1022,3.727600098,3.727600098,15.62524414,15.62524414,-11.89764404,-11.89764404
17,6,video0017_frame0006_R128x128.png,805,805,3.214172363,3.214172363,14.88342285,14.88342285,-11.66925049,-11.66925049
17,7,video0017_frame0007_R128x128.png,1349,733,4.371704102,2.715270996,18.18713379,16.95684814,-13.81542969,-14.24157715
17,8,video0017_frame0008_R128x128.png,771,920,-2.012268066,-2.352416992,17.54125977,22.72387695,-19.55352783,-25.07629395
17,9,video0017_frame0009_R128x128.png,876,1313,-0.113830566,4.15625,18.94598389,20.19213867,-19.05981445,-16.03588867
17,10,video0017_frame0010_R128x128.png,1173,1786,1.893310547,9.295532227,16.52386475,17.66412354,-14.6305542,-8.368591309
