"name","max exg","mean exg","min exg","max exr","mean exr","min exr","max exgr","mean exgr","min exgr","Gen","area","Frame"
"video0023_frame0007_R128x128.png","85","24.892333984375","-23","116","11.524353027344","0","85","13.367980957031","-133","23","7935","7"
"video0023_frame0008_R128x128.png","80","35.348449707031","-22","111","6.8046264648438","0","80","28.543823242188","-129","23","11811","8"
"video0024_frame0001_R128x128.png","86","45.012390136719","-31","79","2.0834350585938","0","86","42.928955078125","-109","24","14714","9"
"video0024_frame0002_R128x128.png","104","56.295288085938","-11","93","1.3366088867188","0","104","54.958679199219","-99","24","12481","10"
"video0024_frame0003_R128x128.png","130","67.966857910156","-26","125","2.7054443359375","0","130","65.261413574219","-136","24","13936","11"
"video0024_frame0004_R128x128.png","129","77.379760742188","-13","98","1.420654296875","0","129","75.959106445312","-111","24","12501","12"
"video0024_frame0005_R128x128.png","118","68.926940917969","-12","104","1.36474609375","0","118","67.562194824219","-105","24","12939","13"
"video0024_frame0006_R128x128.png","115","64.8232421875","-21","117","0.7725830078125","0","115","64.050659179688","-127","24","11823","14"
"video0024_frame0007_R128x128.png","162","65.889953613281","-11","108","0.990478515625","0","162","64.899475097656","-112","24","6943","15"
"video0024_frame0008_R128x128.png","113","57.740661621094","-19","93","0.48956298828125","0","113","57.251098632812","-108","24","10389","16"
"video0025_frame0001_R128x128.png","23","-5.0526123046875","-105","108","15.185424804688","0","14","-20.238037109375","-136","25","0","1"
"video0025_frame0002_R128x128.png","21","-12.038024902344","-95","105","16.810485839844","0","12","-28.848510742188","-128","25","0","2"
"video0025_frame0003_R128x128.png","42","-2.283935546875","-81","110","20.710327148438","0","42","-22.994262695312","-134","25","27","3"
"video0025_frame0004_R128x128.png","61","-8.3551025390625","-82","119","18.368347167969","0","61","-26.723449707031","-153","25","178","4"
"video0025_frame0005_R128x128.png","69","0.6796875","-64","114","20.024841308594","0","69","-19.345153808594","-128","25","547","5"
"video0025_frame0006_R128x128.png","76","1.4782104492188","-94","111","17.721740722656","0","76","-16.243530273438","-132","25","1737","6"
