"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen","Frame","","area gt","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt"
"video0011_frame0002_R128x128.png","0","21","-11.929138183594","-31","117","14.691833496094","0","8","-26.620971679688","-138","11","2","","0","21","-11.929138183594","-31","117","14.691833496094","0","8","-26.620971679688","-138"
"video0011_frame0003_R128x128.png","31","35","-1.9790649414062","-29","108","19.075256347656","0","35","-21.054321289062","-122","11","3","","31","35","-1.9790649414062","-29","108","19.075256347656","0","35","-21.054321289062","-122"
"video0011_frame0004_R128x128.png","248","68","-6.6237182617188","-38","107","15.986633300781","0","68","-22.6103515625","-134","11","4","","248","68","-6.6237182617188","-38","107","15.986633300781","0","68","-22.6103515625","-134"
"video0011_frame0005_R128x128.png","782","72","4.7936401367188","-25","110","19.062438964844","0","72","-14.268798828125","-122","11","5","","739","82","1.2501831054688","-28","112","18.301513671875","0","82","-17.051330566406","-130"
"video0011_frame0006_R128x128.png","2555","70","7.77880859375","-31","111","16.400329589844","0","70","-8.6215209960938","-126","11","6","","2160","72","2.3029174804688","-35","112","16.214904785156","0","72","-13.911987304688","-125"
"video0011_frame0007_R128x128.png","4309","69","15.700927734375","-28","108","14.333190917969","0","69","1.3677368164062","-124","11","7","","3717","70","10.62060546875","-26","108","14.314270019531","0","70","-3.6936645507812","-124"
"video0011_frame0008_R128x128.png","7695","76","22.387390136719","-33","116","10.557495117188","0","76","11.829895019531","-135","11","8","","6947","74","18.137084960938","-27","107","10.629760742188","0","74","7.50732421875","-112"
"video0012_frame0001_R128x128.png","10134","76","29.879699707031","-32","95","6.16259765625","0","76","23.717102050781","-118","12","9","","10134","76","29.879699707031","-32","95","6.16259765625","0","76","23.717102050781","-118"
"video0012_frame0002_R128x128.png","11439","85","40.117797851562","-26","104","5.5037841796875","0","85","34.614013671875","-103","12","10","","11439","85","40.117797851562","-26","104","5.5037841796875","0","85","34.614013671875","-103"
"video0012_frame0003_R128x128.png","13331","94","48.336608886719","-30","91","3.3871459960938","0","94","44.949462890625","-98","12","11","","13331","94","48.336608886719","-30","91","3.3871459960938","0","94","44.949462890625","-98"
"video0012_frame0004_R128x128.png","12233","96","45.341369628906","-24","107","6.4913940429688","0","96","38.849975585938","-119","12","12","","12233","96","45.341369628906","-24","107","6.4913940429688","0","96","38.849975585938","-119"
"video0012_frame0005_R128x128.png","13285","113","53.140808105469","-41","105","3.851318359375","0","113","49.289489746094","-127","12","13","","13820","111","60.464294433594","-17","96","2.150634765625","0","111","58.313659667969","-93"
"video0012_frame0006_R128x128.png","14462","92","48.706481933594","-24","70","1.4048461914062","0","92","47.301635742188","-86","12","14","","14702","110","56.38427734375","-40","82","0.98468017578125","0","110","55.399597167969","-103"
"video0012_frame0007_R128x128.png","14033","93","47.03662109375","-19","99","3.74072265625","0","93","43.2958984375","-86","12","15","","14437","184","60.229553222656","-27","121","3.5045166015625","0","184","56.725036621094","-119"
"video0012_frame0008_R128x128.png","13013","111","49.641418457031","-34","99","5.3880615234375","0","111","44.253356933594","-126","12","16","","13397","111","54.887878417969","-31","97","4.1080932617188","0","111","50.77978515625","-117"
"video0013_frame0001_R128x128.png","0","17","-3.9226684570312","-81","106","13.661254882812","0","10","-17.583923339844","-129","13","1","","0","17","-3.9226684570312","-81","106","13.661254882812","0","10","-17.583923339844","-129"
"video0013_frame0002_R128x128.png","2","27","-11.719116210938","-51","103","16.402160644531","0","27","-28.121276855469","-120","13","2","","2","27","-11.719116210938","-51","103","16.402160644531","0","27","-28.121276855469","-120"
"video0013_frame0003_R128x128.png","114","49","-1.8346557617188","-111","113","17.687255859375","0","49","-19.521911621094","-147","13","3","","114","49","-1.8346557617188","-111","113","17.687255859375","0","49","-19.521911621094","-147"
"video0013_frame0004_R128x128.png","478","73","-6.0654296875","-86","116","16.226379394531","0","73","-22.291809082031","-146","13","4","","478","73","-6.0654296875","-86","116","16.226379394531","0","73","-22.291809082031","-146"
"video0013_frame0005_R128x128.png","1212","76","6.29248046875","-26","110","19.116943359375","0","76","-12.824462890625","-120","13","5","","1077","70","2.9899291992188","-65","115","17.227844238281","0","70","-14.237915039062","-141"
"video0013_frame0006_R128x128.png","2927","71","9.0878295898438","-31","109","16.070983886719","0","71","-6.983154296875","-118","13","6","","2677","75","3.3928833007812","-73","122","15.254333496094","0","75","-11.861450195312","-145"
